season,week,network,window,map_slot,selected_image_url,selected_local_path,page_source,map_revision,sha256,width,height,legend_source,legend_status,legend_color_count,expected_color_count,unresolved_colors,legend_colors,dma_rows,ok_rows,review_rows,notes
2021,1,CBS,EARLY,CBS_EARLY,https://506sports.com/2021/01-CBS-E.png,map_archive\2021\week_01\2021_w01_CBS_EARLY_live_01.png,live,0,9663cef4d004cf41d9871abc13aaf5223c9f511289022c752546e24b24a73c84,1000,552,https://506sports.com/nfl.php?yr=2021&wk=1,resolved,5,5,,"{""blue"": ""Jacksonville @ Houston"", ""green"": ""NY Jets @ Carolina"", ""orange"": ""Arizona @ Tennessee"", ""red"": ""Pittsburgh @ Buffalo"", ""yellow"": ""LA Chargers @ Washington""}",206,197,17,
2021,1,CBS,LATE,CBS_LATE,https://506sports.com/2021/01-CBS-L.png,map_archive\2021\week_01\2021_w01_CBS_EARLY_live_02.png,live,0,4d667e73c611561ca011712f2ca7889169266ec14244cd1144de000217e006a9,1000,552,https://506sports.com/nfl.php?yr=2021&wk=1,resolved,2,2,,"{""blue"": ""Miami @ New England"", ""red"": ""Cleveland @ Kansas City""}",206,203,6,
2021,1,FOX,EARLY,FOX_EARLY,https://506sports.com/2021/01-FOX-E.png,map_archive\2021\week_01\2021_w01_FOX_EARLY_live_03.png,live,0,d102f6aedfe1d069d66c1b44214483e09a55492582c83278fd2ed6d0fba4d2c5,1000,552,https://506sports.com/nfl.php?yr=2021&wk=1,resolved,4,4,,"{""blue"": ""Seattle @ Indianapolis"", ""green"": ""San Francisco @ Detroit"", ""red"": ""Philadelphia @ Atlanta"", ""yellow"": ""Minnesota @ Cincinnati""}",206,197,16,
2021,1,FOX,LATE,FOX_LATE,https://506sports.com/2021/01-FOX-L-V3.png,map_archive\2021\week_01\2021_w01_FOX_EARLY_live_04.png,live,3,05b030705245ede86f28ab39556760197f1e1aa946bbe016864b831ab82a7bba,1000,552,https://506sports.com/nfl.php?yr=2021&wk=1,resolved,2,2,,"{""blue"": ""Denver @ NY Giants"", ""red"": ""Green Bay @ New Orleans (in Jacksonville)""}",206,203,7,
2021,2,CBS,EARLY,CBS_EARLY,https://506sports.com/2021/02-CBS-E-V2.png,map_archive\2021\week_02\2021_w02_CBS_EARLY_live_01.png,live,2,fd5e9e1805d3ea447364eed8cd051afa197ebc3b5ab6089a831792093b729167,1000,552,https://506sports.com/nfl.php?yr=2021&wk=2,resolved,4,4,,"{""blue"": ""New England @ NY Jets"", ""green"": ""Houston @ Cleveland"", ""red"": ""Las Vegas @ Pittsburgh"", ""yellow"": ""Denver @ Jacksonville""}",206,199,19,
2021,2,CBS,LATE,CBS_LATE,https://506sports.com/2021/02-CBS-L-V3.png,map_archive\2021\week_02\2021_w02_CBS_EARLY_live_02.png,live,3,72614fef3b990d8d2a722d72e9b51f65fac463f3b40c207f11eace055f968373,1000,552,https://506sports.com/nfl.php?yr=2021&wk=2,resolved,2,2,,"{""blue"": ""Tennessee @ Seattle"", ""red"": ""Dallas @ LA Chargers""}",206,204,7,
2021,2,FOX,SINGLE,FOX_SINGLE,https://506sports.com/2021/02-FOX-V4.png,map_archive\2021\week_02\2021_w02_FOX_EARLY_live_03.png,live,4,09becb26363bea9fb49857449dfd61df7f300d6617bd2f897342763600947862,1000,552,https://506sports.com/nfl.php?yr=2021&wk=2,resolved,7,6,,"{""blue"": ""San Francisco @ Philadelphia"", ""green"": ""LA Rams @ Indianapolis"", ""light_blue"": ""Buffalo @ Miami"", ""orange"": ""New Orleans @ Carolina"", ""purple"": ""Minnesota @ Arizona (LATE)"", ""red"": ""Atlanta @ Tampa Bay (LATE)"", ""yellow"": ""Cincinnati @ Chicago""}",206,186,34,
2021,3,CBS,SINGLE,CBS_SINGLE,https://506sports.com/2021/03-CBS-V3.png,map_archive\2021\week_03\2021_w03_CBS_SINGLE_live_01.png,live,3,f4a22382ca1e11226141e7c96f4a8e77d29f2950143c14c2bf13f3fcfaab0964,1000,552,https://506sports.com/nfl.php?yr=2021&wk=3,resolved,6,6,,"{""blue"": ""Miami @ Las Vegas (LATE)"", ""green"": ""Cincinnati @ Pittsburgh"", ""light_blue"": ""NY Jets @ Denver (LATE)"", ""orange"": ""Indianapolis @ Tennessee"", ""red"": ""LA Chargers @ Kansas City"", ""yellow"": ""Baltimore @ Detroit""}",206,194,26,
2021,3,FOX,EARLY,FOX_EARLY,https://506sports.com/2021/03-FOX-E-V4.png,map_archive\2021\week_03\2021_w03_FOX_SINGLE_live_02.png,live,4,e04a60f8a9f4462f99695711c3746d7cdbb89087e5889289b18fab12f035a5fc,1000,552,https://506sports.com/nfl.php?yr=2021&wk=3,resolved,5,5,,"{""blue"": ""Atlanta @ NY Giants"", ""green"": ""New Orleans @ New England"", ""orange"": ""Arizona @ Jacksonville"", ""red"": ""Chicago @ Cleveland"", ""yellow"": ""Washington @ Buffalo""}",206,193,21,
2021,3,FOX,LATE,FOX_LATE,https://506sports.com/2021/03-FOX-L-V2.png,map_archive\2021\week_03\2021_w03_FOX_SINGLE_live_03.png,live,2,d455d35549fa13ca3a02883b31b3e36205a82a8ed69daf61cf8c05aa9deff8e8,1000,552,https://506sports.com/nfl.php?yr=2021&wk=3,resolved,2,2,,"{""blue"": ""Seattle @ Minnesota"", ""red"": ""Tampa Bay @ LA Rams""}",206,203,6,
